what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1493721996753
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1493721996754
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1493721996755
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1493721996757
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1493721996759
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1493721996761
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1493721996762
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1493721996763
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1493721996763
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1493721996765
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1493721996767
os,sysinfo,,,"win32",1493721996777
arch,sysinfo,,,"x86_64",1493721996777
ws,sysinfo,,,"win32",1493721996777
locale,sysinfo,,,"en_IE",1493721996777
processors,sysinfo,,,"4",1493721996777
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1493721996777
java.runtime.version,sysinfo,,,"1.8.0_111-b14",1493721996777
java.specification.name,sysinfo,,,"Java Platform API Specification",1493721996777
java.specification.vendor,sysinfo,,,"Oracle Corporation",1493721996777
java.specification.version,sysinfo,,,"1.8",1493721996777
java.vendor,sysinfo,,,"Oracle Corporation",1493721996777
java.version,sysinfo,,,"1.8.0_111",1493721996777
java.vm.info,sysinfo,,,"mixed mode",1493721996777
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1493721996777
